refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Xinfa - Xiaoyi,Shanxi,Shanxi,H-B,Xinfa,Xinfa,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.6,1.8,2.1,2.1,3.03,2.8,2.8,2.8,2.8,3.7747169811320753,3.572692307692307,6.483870967741938,3.9174193548387093,3.854117647058823,2.4,2.4,2.4
Xingan Chemical,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.2,0.4,0.823005249,2.04,2.16,2.16,2.16,2.4,2.5,2.5,2.55,2.0,1.9,1.9,1.9,2.5614150943396226,2.4243269230769227,4.592741935483873,2.774838709677419,2.5694117647058823,1.6,1.6,1.6
Xingan Chemical import,Shanxi,Shanxi,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4
Yangquan Zhaofeng,Shanxi,Shanxi,H-B (Lime),"Xinfa, Yangquan Coal",Xinfa,Domestic,0.0,0.0,0.004,0.3,0.16,0.178228782,0.193648294,0.385,0.66,0.7,0.7,0.7,0.8,0.8,0.4,0.5,0.64,0.5,0.5,0.6740566037735849,0.6379807692307692,1.3508064516129037,0.8161290322580644,0.8029411764705882,0.5,0.5,0.2
Gangyuan Jiaohua,Shanxi,Shanxi,H-B,Private,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.031190037,0.033888451,0.055999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xinghua (Chalco Jiaokou),Shanxi,Shanxi,H-B,Chalco,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.315,0.55,0.9,0.65,0.3,0.3,0.3,0.2,0.269622641509434,0.25519230769230766,0.5403225806451615,0.3264516129032258,0.3211764705882353,0.2,0.2,0.1
Xinghua (Chalco Jiaokou) import,Shanxi,Shanxi,H-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.55,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Tiantong,Shanxi,Shanxi,H-B,Private,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusheng,Shanxi,Shanxi,H-B,Jinjiang,Jinjiang,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.8088679245283018,0.765576923076923,1.6209677419354844,0.8161290322580644,0.8029411764705882,0.5,0.5,0.5
YMG - Wenshan,Yunnan,Other,H-B,Yunnan Aluminium Companuy,Chalco,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2,0.6,0.6,0.6,1.0,0.85,1.45,1.6,1.6,1.6,1.6,2.106666666666667,1.7919999999999998,1.48,1.3837499999999998,1.27875,1.2262499999999998,1.2,1.0,1.0
Guangxi - blending,Guangxi,Guangxi,H-B,spare,spare,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guizhou - blending,Guizhou,Guizhou,H-B,spare,spare,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henan - blending,Henan,Henan,H-B,spare,spare,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shanxi - blending,Shanxi,Shanxi,H-B,spare,spare,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other - blending,Other,Other,H-B,spare,spare,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spare,spare,spare,spare,spare,spare,spare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
